Name,Stars,Title,Date,Description
Yeng,1,DO NOT GET,N/A,"i'd say don’t get this unless you want your CPU to die within a year, i didn’t even overclock too!, and it seems that within this year i got blue screens of death and my pc started crashing out of nowhere, tried all possible online fix's but they did not work, so i brought it to the shop and they took a couple weeks to figure out the problem,  they told me everything works fine, and when they tested the CPU with a different one it worked and told me this is the first time in 3 years for him to find out that a CPU would turn out horrible from overclocking or just in general and i personally never overclocked my CPU, so trust this and go for a different one and make sure its actually legit. unless i can get another one for their mistake i wont be changing my mind"
Amazon User,1,Crashes frequently,N/A,CPU crashed frequently on my Asus Strix ROG Z790. Still waiting for Amazon to finalize a refund for a defective item. Maybe these are better bought at a brick and mortar store.
Old Audio Nut,1,It came USED.,N/A,"The box was opened, the i5 sticker was missing. The CPU had some of the heat sink gray goo on it.The description did NOT say USED or OPEN BOX.Then to add INSULT to INJURY I have to drop it off at a UPS Store 12 miles away!The price when up so now I get to eat that difference too for a mistake I didn't do."
Andre in the north,1,Product never worked after installation,N/A,Product never worked after finally building system.Went to Best Buy. Bought another after troubleshooting for days. That one worked.Think I must have gotten someone’s return item.
Jypsy Martin,1,Product was defect,N/A,I returned it and ask for a refund the 6 of October and I received nothing yet.
Cpu reviewer,1,Broken Cpu,N/A,I received this CPU and was so exited to finally finish the build and my computer didn't even turn on so I am going the AMD side.
Hsu,1,The CPU is great,N/A,"The CPU is great, but Amazon's driver lost my CPU, and I can only refund, and cannot refund the original exchange rate, please be careful.Said to be serious about security and ended up losing my package, lol."
sean gallagher,1,broken,N/A,broken
Cliente Amazon,1,Buy amd intel its crap second time i receive a burn cpu,N/A,"Buy a lot of amd never problems 3 times intel, 2 bad what a crap brand"
Claudia M M,1,Aquí está el I5-13600k,N/A,its just fine
Andrea,3,"Processore performante, stock cooler pessimo.",N/A,"The processor itself� is� great. Responsive and performing in standard applications (internet, office) but a heatsink must be taken into account because� the stock one is noisy and inefficient."
Dylin,3,The King of Mid-Range Gaming? (With a Few Quirks),N/A,"The Intel Core i5-13600K is the latest champion in the mid-range desktop processor arena, promising top-notch gaming performance and efficient multitasking. But does it reign supreme, or face dethronement by rivals? Let's sharpen our critical swords and delve into its strengths and weaknesses:Pros:Performance Powerhouse: 14 cores (6 P-cores + 8 E-cores) and 20 threads deliver exceptional performance for gaming, content creation, and demanding workloads. Compared to its predecessor, the 12600K, it offers a significant performance leap.Gaming Prowess: Tears through even the most graphically demanding games with ease, boasting high frame rates and smooth gameplay at 1080p and beyond.Multitasking Maestro: Handles heavy multitasking like a champ, effortlessly juggling multiple applications, browser tabs, and demanding tasks simultaneously.Overclocking Champion: Unlocked multiplier allows for enthusiast-level overclocking, squeezing even more performance out of the silicon for those seeking ultimate power.DDR5 and PCIe 5.0 Support: Future-proofed with support for the latest DDR5 memory and PCIe 5.0 technology, ensuring compatibility with cutting-edge hardware upgrades.Cons:Power Hungry Prince: This performance comes at a cost, with a higher TDP (125W) and potential for increased power consumption compared to lower-power alternatives.Temperature Tantrums: Can run hot under heavy load, requiring beefy cooling solutions to maintain optimal performance and prevent thermal throttling.Pricey Pedigree: Carries a premium price tag compared to some Ryzen 5 competitors offering similar performance in certain scenarios.Windows 11 Preference: While technically compatible with Windows 10, Intel recommends Windows 11 for optimal performance and feature utilization.Motherboard Matchmaking: Requires a newer LGA 1700 motherboard, adding to the overall upgrade cost.Verdict:The Intel Core i5-13600K is a force to be reckoned with in the mid-range gaming processor category. Its exceptional performance, overclocking potential, and future-proof compatibility make it a tempting choice for serious gamers and creators. However, the higher power consumption, price tag, and potential thermal issues require careful consideration.Overall Rating: 4.5 out of 5 stars (with a slight temperature-related deduction)Should You Buy It?Absolutely! If you're a hardcore gamer or demanding content creator seeking the best value for performance in the mid-range, and aren't afraid of a little thermal taming, the 13600K is a top contender.Consider alternatives: If budget, power consumption, or Windows 10 compatibility are major concerns, explore Ryzen 5 options or consider the slightly less powerful (and cooler) i5-13500."
Sai,3,Not compatible with ASRock Steel Legend ATX,N/A,"Bios flash to update the motherboard for it to be able to use this 13th gen CPU, but the flash didn't work so the CPU could never be read by my ASRock Steel Legend motherboard. I have to buy a 12th gen CPU instead because of this problem assuming its the CPU that wasn't compatible with it."
Stefano Bruni,4,Intel Core i3-13100 processor 12 MB Smart Cache Box,N/A,"CPU Intel Core i3 di tredicesima generazione molto prestante, si può usare sia per il gaming che per il lavoro a livello professionale. L'ho testato un pò e posso dire che funziona davvero bene, non ha dato segni di cedimento e non si surriscalda in modo eccessivo.E' stato consegnato dovutamente imballato e nei giorni previsti da Amazon!"
Emmanuel,4,Caliente pero rápido,N/A,"The only downside I see is that it heats up very quickly. However, with good ventilation, it pounds very well."
Amazon Customer,4,Not bad but get hot,N/A,Not bad but gets hot when using like photoshop or whatever
Jennifer W.,4,Great,N/A,"Building my own computer, this product is perfect for what I need"
Don,4,A workhorse,N/A,"A great cPU, good value for money, I got mine during the Black Friday sale but do not use it for gaming. Good power as long as it is paired with a good motherboard, Ram and storage."
