Id,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,ID,Name,Stars,Title,Date,Description
1,0.103,0.821,0.076,-0.663,0.507646263,0.379711807,0.112641953,1,Yeng,1,DO NOT GET,,"i'd say donât get this unless you want your CPU to die within a year, i didnât even overclock too!, and it seems that within this year i got blue screens of death and my pc started crashing out of nowhere, tried all possible online fix's but they did not work, so i brought it to the shop and they took a couple weeks to figure out the problem,  they told me everything works fine, and when they tested the CPU with a different one it worked and told me this is the first time in 3 years for him to find out that a CPU would turn out horrible from overclocking or just in general and i personally never overclocked my CPU, so trust this and go for a different one and make sure its actually legit. unless i can get another one for their mistake i wont be changing my mind"
2,0.087,0.776,0.137,0.1779,0.831510484,0.151781902,0.016707594,2,Amazon User,1,Crashes frequently,,CPU crashed frequently on my Asus Strix ROG Z790. Still waiting for Amazon to finalize a refund for a defective item. Maybe these are better bought at a brick and mortar store.
3,0.209,0.791,0,-0.9268,0.803715706,0.172189921,0.024094373,3,Old Audio Nut,1,It came USED.,,"The box was opened, the i5 sticker was missing. The CPU had some of the heat sink gray goo on it.The description did NOT say USED or OPEN BOX.Then to add INSULT to INJURY I have to drop it off at a UPS Store 12 miles away!The price when up so now I get to eat that difference too for a mistake I didn't do."
4,0,0.796,0.204,0.7096,0.606270909,0.336666018,0.057063092,4,Andre in the north,1,Product never worked after installation,,Product never worked after finally building system.Went to Best Buy. Bought another after troubleshooting for days. That one worked.Think I must have gotten someoneâs return item.
5,0,1,0,0,0.559246898,0.423285127,0.017468005,5,Jypsy Martin,1,Product was defect,,I returned it and ask for a refund the 6 of October and I received nothing yet.
6,0,1,0,0,0.013676199,0.081463665,0.904860139,6,Cpu reviewer,1,Broken Cpu,,I received this CPU and was so exited to finally finish the build and my computer didn't even turn on so I am going the AMD side.
7,0.203,0.554,0.243,0.4691,0.714700937,0.224381596,0.060917456,7,Hsu,1,The CPU is great,,"The CPU is great, but Amazon's driver lost my CPU, and I can only refund, and cannot refund the original exchange rate, please be careful.Said to be serious about security and ended up losing my package, lol."
8,1,0,0,-0.4767,0.58120209,0.364483804,0.054314151,8,sean gallagher,1,broken,,broken
9,0.351,0.518,0.13,-0.5916,0.884806573,0.104498945,0.010694385,9,Cliente Amazon,1,Buy amd intel its crap second time i receive a burn cpu,,"Buy a lot of amd never problems 3 times intel, 2 bad what a crap brand"
10,0,0.526,0.474,0.2023,0.031942774,0.240277603,0.727779627,10,Claudia M M,1,AquÃ­ estÃ¡ el I5-13600k,,its just fine
11,0.065,0.797,0.137,0.3071,0.060254257,0.226602584,0.71314317,11,Andrea,3,"Processore performante, stock cooler pessimo.",,"The processor itself© is© great. Responsive and performing in standard applications (internet, office) but a heatsink must be taken into account because© the stock one is noisy and inefficient."
